Year,Facility ID,Hospital Name,Hospital County,Hospital Region,IQI Code,IQI Value,Total Cases,Numerator,Observed Rate,Expected Rate,Risk Adjusted Rate,Lower 95CI RAR,Upper 95CI RAR,Compare to State,Compare to National
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI18,Gastrointestinal Hemorrhage Mortality Rate,164,4,24.39,18.36,35.5,9.67,90.88,NS,NS
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI15,Acute Myocardial Infarction (AMI) Mortality Rate,465,38,81.72,38.41,132.98,94.11,182.53,Above,Above
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI16,Heart Failure Mortality Rate,522,24,45.98,23.04,79.79,51.12,118.73,Above,Above
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI19,Hip Fracture Mortality Rate,72,2,27.78,16.3,51.07,6.19,184.49,NS,NS
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI11,Abdominal Aortic Aneurysm (AAA) Repair Mortality Rate,53,1,18.87,16.17,42.88,1.09,238.91,NS,NS
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI24,Incidental Appendectomy in the Elderly Rate,226,6,26.55,,,,,,
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI22,"Vaginal Birth After Cesarean (VBAC) Delivery Rate, Uncomplicated",304,35,115.13,,,,,,
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI25,Bilateral Cardiac Catheterization Rate,698,0,0,,,,,,
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI20,Pneumonia Mortality Rate,327,19,58.1,27.39,85.87,51.7,134.09,Above,Above
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI33,"Primary Cesarean Delivery Rate, Uncomplicated",963,155,160.96,,,,,,
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI32,"Acute Myocardial Infarction (AMI) Mortality Rate, Without Transfer Cases",448,38,84.82,40.77,139.2,98.51,191.07,Above,Above
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI25,Bilateral Cardiac Catheterization Rate,219,18,82.19,,,,,,
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI34,"Vaginal Birth After Cesarean (VBAC) Rate, All",91,3,32.97,,,,,,
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI21,"Cesarean Delivery Rate, Uncomplicated",658,150,227.96,,,,,,
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI33,"Primary Cesarean Delivery Rate, Uncomplicated",578,73,126.3,,,,,,
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI22,"Vaginal Birth After Cesarean (VBAC) Delivery Rate, Uncomplicated",80,3,37.5,,,,,,
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI18,Gastrointestinal Hemorrhage Mortality Rate,115,10,86.96,31.63,73.45,35.22,135.07,Above,Above
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI19,Hip Fracture Mortality Rate,46,3,65.22,23.62,82.74,17.06,241.81,NS,NS
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI20,Pneumonia Mortality Rate,171,5,29.24,36.32,32.58,10.58,76.04,NS,NS
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI32,"Acute Myocardial Infarction (AMI) Mortality Rate, Without Transfer Cases",204,5,24.51,39.03,42.01,13.64,98.04,NS,NS
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI23,Laparoscopic Cholecystectomy Rate,46,38,826.09,,,,,,
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI16,Heart Failure Mortality Rate,212,13,61.32,38.32,63.99,34.07,109.43,NS,NS
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI24,Incidental Appendectomy in the Elderly Rate,72,0,0,,,,,,
2014,66,OLEAN GENERAL HOSPITAL,Cattaraugus,Western NY,IQI15,Acute Myocardial Infarction (AMI) Mortality Rate,204,5,24.51,38.77,39.51,12.83,92.2,NS,NS
2014,85,AUBURN COMMUNITY HOSPITAL,Cayuga,Central NY,IQI22,"Vaginal Birth After Cesarean (VBAC) Delivery Rate, Uncomplicated",52,0,0,,,,,,
2014,85,AUBURN COMMUNITY HOSPITAL,Cayuga,Central NY,IQI21,"Cesarean Delivery Rate, Uncomplicated",383,93,242.82,,,,,,
2014,85,AUBURN COMMUNITY HOSPITAL,Cayuga,Central NY,IQI33,"Primary Cesarean Delivery Rate, Uncomplicated",331,41,123.87,,,,,,
2014,85,AUBURN COMMUNITY HOSPITAL,Cayuga,Central NY,IQI23,Laparoscopic Cholecystectomy Rate,70,68,971.43,,,,,,
2014,85,AUBURN COMMUNITY HOSPITAL,Cayuga,Central NY,IQI20,Pneumonia Mortality Rate,231,10,43.29,32.15,54.5,26.13,100.22,NS,NS
2014,85,AUBURN COMMUNITY HOSPITAL,Cayuga,Central NY,IQI24,Incidental Appendectomy in the Elderly Rate,55,0,0,,,,,,
2014,85,AUBURN COMMUNITY HOSPITAL,Cayuga,Central NY,IQI19,Hip Fracture Mortality Rate,54,2,37.04,31.29,35.47,4.3,128.13,NS,NS
2014,85,AUBURN COMMUNITY HOSPITAL,Cayuga,Central NY,IQI16,Heart Failure Mortality Rate,257,19,73.93,32.4,91.24,54.94,142.49,Above,Above
2014,85,AUBURN COMMUNITY HOSPITAL,Cayuga,Central NY,IQI34,"Vaginal Birth After Cesarean (VBAC) Rate, All",58,1,17.24,,,,,,
2014,85,AUBURN COMMUNITY HOSPITAL,Cayuga,Central NY,IQI18,Gastrointestinal Hemorrhage Mortality Rate,80,0,0,17.65,0,0,5.55,Below,Below
2014,98,BROOKS MEMORIAL HOSPITAL,Chautauqua,Western NY,IQI21,"Cesarean Delivery Rate, Uncomplicated",439,157,357.63,,,,,,
2014,98,BROOKS MEMORIAL HOSPITAL,Chautauqua,Western NY,IQI16,Heart Failure Mortality Rate,116,8,68.97,38.54,71.56,30.89,141,NS,NS
2014,98,BROOKS MEMORIAL HOSPITAL,Chautauqua,Western NY,IQI20,Pneumonia Mortality Rate,141,10,70.92,44.54,64.46,30.91,118.54,NS,NS
2014,98,BROOKS MEMORIAL HOSPITAL,Chautauqua,Western NY,IQI18,Gastrointestinal Hemorrhage Mortality Rate,51,2,39.22,20.03,52.31,6.33,188.96,NS,NS
2014,98,BROOKS MEMORIAL HOSPITAL,Chautauqua,Western NY,IQI19,Hip Fracture Mortality Rate,49,2,40.82,8.89,137.59,16.66,497.04,NS,NS
2014,98,BROOKS MEMORIAL HOSPITAL,Chautauqua,Western NY,IQI14,Hip Replacement Mortality Rate,80,0,0,0.15,0,0,12.14,NS,NS
2014,98,BROOKS MEMORIAL HOSPITAL,Chautauqua,Western NY,IQI22,"Vaginal Birth After Cesarean (VBAC) Delivery Rate, Uncomplicated",85,0,0,,,,,,
2014,98,BROOKS MEMORIAL HOSPITAL,Chautauqua,Western NY,IQI34,"Vaginal Birth After Cesarean (VBAC) Rate, All",102,0,0,,,,,,
2014,98,BROOKS MEMORIAL HOSPITAL,Chautauqua,Western NY,IQI33,"Primary Cesarean Delivery Rate, Uncomplicated",354,72,203.39,,,,,,
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI21,"Cesarean Delivery Rate, Uncomplicated",632,201,318.04,,,,,,
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI24,Incidental Appendectomy in the Elderly Rate,56,0,0,,,,,,
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI33,"Primary Cesarean Delivery Rate, Uncomplicated",535,104,194.39,,,,,,
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI34,"Vaginal Birth After Cesarean (VBAC) Rate, All",115,0,0,,,,,,
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI22,"Vaginal Birth After Cesarean (VBAC) Delivery Rate, Uncomplicated",97,0,0,,,,,,
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI18,Gastrointestinal Hemorrhage Mortality Rate,98,3,30.61,13.47,60.71,12.52,177.43,NS,NS
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI15,Acute Myocardial Infarction (AMI) Mortality Rate,47,8,170.21,75.42,141.05,60.89,277.92,NS,NS
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI32,"Acute Myocardial Infarction (AMI) Mortality Rate, Without Transfer Cases",46,8,173.91,76,153.12,66.11,301.7,NS,NS
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI20,Pneumonia Mortality Rate,157,0,0,20.65,0,0,7.19,Below,Below
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI16,Heart Failure Mortality Rate,257,12,46.69,26.91,69.4,35.86,121.24,NS,NS
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI19,Hip Fracture Mortality Rate,94,5,53.19,6.81,234.02,75.99,546.13,Above,Above
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI14,Hip Replacement Mortality Rate,52,0,0,0.14,0,0,12.91,NS,NS
2014,103,WOMAN'S CHRISTIAN ASSOCIATION,Chautauqua,Western NY,IQI25,Bilateral Cardiac Catheterization Rate,82,1,12.2,,,,,,
2014,114,TLC HEALTH NETWORK LAKE SHORE HOSPITAL,Chautauqua,Western NY,IQI20,Pneumonia Mortality Rate,65,5,76.92,17.51,177.78,57.72,414.88,Above,Above
2014,114,TLC HEALTH NETWORK LAKE SHORE HOSPITAL,Chautauqua,Western NY,IQI14,Hip Replacement Mortality Rate,32,0,0,0.14,0,0,12.99,NS,NS
2014,114,TLC HEALTH NETWORK LAKE SHORE HOSPITAL,Chautauqua,Western NY,IQI16,Heart Failure Mortality Rate,53,1,18.87,14.49,52.08,1.32,290.17,NS,NS
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI22,"Vaginal Birth After Cesarean (VBAC) Delivery Rate, Uncomplicated",216,19,87.96,,,,,,
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI19,Hip Fracture Mortality Rate,90,0,0,7.32,0,0,15.01,Below,Below
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI20,Pneumonia Mortality Rate,534,11,20.6,25.32,32.93,16.44,58.92,NS,NS
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI14,Hip Replacement Mortality Rate,153,0,0,0.15,0,0,12.39,NS,NS
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI16,Heart Failure Mortality Rate,321,9,28.04,22.86,49.05,22.43,93.1,NS,NS
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI23,Laparoscopic Cholecystectomy Rate,85,64,752.94,,,,,,
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI24,Incidental Appendectomy in the Elderly Rate,108,0,0,,,,,,
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI34,"Vaginal Birth After Cesarean (VBAC) Rate, All",235,20,85.11,,,,,,
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI21,"Cesarean Delivery Rate, Uncomplicated",1263,377,298.5,,,,,,
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI15,Acute Myocardial Infarction (AMI) Mortality Rate,370,15,40.54,53.48,47.38,26.52,78.14,NS,NS
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI32,"Acute Myocardial Infarction (AMI) Mortality Rate, Without Transfer Cases",316,15,47.47,54.95,57.8,32.35,95.34,NS,NS
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI33,"Primary Cesarean Delivery Rate, Uncomplicated",1047,180,171.92,,,,,,
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI25,Bilateral Cardiac Catheterization Rate,532,5,9.4,,,,,,
2014,116,ARNOT OGDEN MEDICAL CENTER,Chemung,Finger Lakes,IQI18,Gastrointestinal Hemorrhage Mortality Rate,218,1,4.59,15.68,7.82,0.2,43.56,NS,NS
2014,118,ST JOSEPHS HOSPITAL,Chemung,Finger Lakes,IQI20,Pneumonia Mortality Rate,72,3,41.67,16.14,104.51,21.55,305.42,NS,NS
2014,128,CHENANGO MEMORIAL HOSPITAL INC,Chenango,Central NY,IQI20,Pneumonia Mortality Rate,118,2,16.95,19.2,35.72,4.33,129.04,NS,NS
